file,line,section,value,context
chapters/appA_evidence_matrix.tex,109,"Evidence, Assumptions, and Closing Tests",7.6-year,"A \rerun{7.6-year} calendar span of captures with per-event provenance, but a"
chapters/appB_legacy_evidence.tex,150,Sensitivity Geometry and Policy Lessons,178,post-completion audit of those products found \rerun{178} nominally valid
chapters/appB_legacy_evidence.tex,151,Sensitivity Geometry and Policy Lessons,eight,frames in \rerun{eight} events whose mean decoded complex-\texttt{int4} power
chapters/appD_software.tex,21,Software and Data Availability,to pin,"\texttt{pilot-proxy} & The detector: weight synthesis, floating and fixed-point references, the CUDA kernels of Chapter~"
chapters/appD_software.tex,22,Software and Data Availability,to pin,\texttt{datatrail-cli} (fork of CHIMEFRB) & CHIME/FRB's Datatrail archive-service client; the fork carries the recursive
chapters/appD_software.tex,23,Software and Data Availability,to pin,"\texttt{dtv-census} & The transmitter census: source compilations, curated workbook, deterministic reduction, ISED overl"
chapters/appD_software.tex,24,Software and Data Availability,to pin,\texttt{RFIsher} & The masking-cost and contamination-residual tolerance workflow of Chapter~\ref{sec:tolerance}: residu
chapters/appD_software.tex,25,Software and Data Availability,to pin,"\texttt{RadioFisher} (fork of philbull) & The Fisher-forecast backend of Bull et al.\ \cite{bull2015}, configured to the"
chapters/appD_software.tex,26,Software and Data Availability,to pin,"\texttt{kotekan} (fork of kotekan) & The real-time framework; the fork carries \texttt{cudaPilotProxyDetector}, \texttt{"
chapters/bibliography.tex,9,,"[Update the pinned commit and, if merged upstream, the release tag before submission.]","\bibitem{kotekan} A.~Renard et al., \emph{Kotekan: A framework for high-performance radiometric data pipelines}, softwar"
chapters/ch01_introduction.tex,64,Watching Hydrogen Instead of Galaxies,3--24~dB,"The instrument itself matters to this dissertation's story, so one paragraph on it. CHIME is four fixed cylindrical refl"
chapters/ch01_introduction.tex,82,"Where the Measurement Lives, and What Else Lives There",44~dB,"Here is the fact that makes this a dissertation rather than a nuisance: \emph{in any single data frame, the television s"
chapters/ch01_introduction.tex,82,"Where the Measurement Lives, and What Else Lives There",twenty-five thousand,"Here is the fact that makes this a dissertation rather than a nuisance: \emph{in any single data frame, the television s"
chapters/ch01_introduction.tex,119,Why Time Does Not Fix This One,$44$~dB,Figure~\ref{fig:intro:averaging} shows the arithmetic. Noise averages down as $1/\sqrt{N}$ without limit. A coherent sig
chapters/ch01_introduction.tex,119,Why Time Does Not Fix This One,a few hundred,Figure~\ref{fig:intro:averaging} shows the arithmetic. Noise averages down as $1/\sqrt{N}$ without limit. A coherent sig
chapters/ch01_introduction.tex,119,Why Time Does Not Fix This One,about a billion,Figure~\ref{fig:intro:averaging} shows the arithmetic. Noise averages down as $1/\sqrt{N}$ without limit. A coherent sig
chapters/ch01_introduction.tex,123,Why Time Does Not Fix This One,0.2\%--53\%,"Reality is gentler than the cartoon in one important way, but the mitigation must be defined at the level where it is ap"
chapters/ch01_introduction.tex,123,Why Time Does Not Fix This One,3--24~dB,"Reality is gentler than the cartoon in one important way, but the mitigation must be defined at the level where it is ap"
chapters/ch01_introduction.tex,174,What the Detector Must Be,44~dB,\item[R1 --- See below the noise.] On all but the loudest channel the contamination sits below thermal noise per frame -
chapters/ch01_introduction.tex,177,What the Detector Must Be,7.6 years,\item[R4 --- Reproduce to the bit.] Products spanning \rerun{7.6 years} of archive captures are calibrated against this 
chapters/ch01_introduction.tex,255,What This Dissertation Does,7.6 years,"The argument of the work, compressed to a paragraph: CHIME's BAO measurement carries a computable tolerance for survivin"
chapters/ch03_broadcast.tex,172,The Transmitter Population \& the Propagation Environment,499,That expectation was first explored because the detector's window geometry depends on it. The transmitter census is buil
chapters/ch03_broadcast.tex,172,The Transmitter Population \& the Propagation Environment,162,That expectation was first explored because the detector's window geometry depends on it. The transmitter census is buil
chapters/ch03_broadcast.tex,172,The Transmitter Population \& the Propagation Environment,"channels 27, 28, 29, 34, 36",That expectation was first explored because the detector's window geometry depends on it. The transmitter census is buil
chapters/ch03_broadcast.tex,172,The Transmitter Population \& the Propagation Environment,"channels 30, 31, 32",That expectation was first explored because the detector's window geometry depends on it. The transmitter census is buil
chapters/ch03_broadcast.tex,174,The Transmitter Population \& the Propagation Environment,15,The current census envelope and spectra show why a simple proximity ranking is not a defensible propagation model. Chann
