channel,epoch_key,epoch_group,epoch_label,survey_mask_fraction,fine_mask_fraction,residual_ratio,retained_frames,status,evidence_state,note,legacy_numeric_fields_health_recomputed,v4_status,v4_note
32,ch32_pre_2021,0,station era,0.998,,,7,failure,measured,Fine calibration retains seven frames; no defensible operating point.,False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command.
32,ch32_post_2021,1,modern era,0.59,0.433,0.0155,,conditional,measured+modeled,Fine operating point remains conditional on transfer and estimator validation.,False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command.
35,ch35_pre_2021,0,early era,0.461,0.181,,,conditional,measured+modeled,Early epoch has a feasible fine-mask fraction under the current model.,False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command.
35,ch35_post_2021,1,switch-on era,0.942,0.988,0.237,,failure,measured+modeled,Post-switch-on epoch is occupancy-pinned under the current policy.,False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command.
19,ch19_on_through_2024_11,0,on epoch,0.997,,,,failure,measured,Transmitter on through November 2024; occupancy-pinned at the survey rule.,False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command.
19,ch19_off_from_2024_12,1,off epoch,0.865,,,,conditional,measured,Sign-off December 2024; the survey rule still fires on faint residual excess. Off-epoch shelf floor -33.5 dB (p90); fine calibration pending.,False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command.
20,ch20_on_through_2022_08,0,on epoch,1.0,,,,failure,measured,Transmitter on through August 2022; occupancy-pinned at the survey rule.,False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command.
20,ch20_off_from_2022_09,1,off epoch,0.997,,,,conditional,measured,Two-stage step-down September 2022; the survey rule still fires on faint residual excess. Off-epoch shelf floor -26.1 dB (p90); fine calibration pending.,False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command.
26,ch26_on_through_2023_03,0,on epoch,0.999,,,,failure,measured,Transmitter on through March 2023; occupancy-pinned at the survey rule.,False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command.
26,ch26_off_from_2023_04,1,off epoch,0.927,,,,conditional,measured,Sign-off April 2023; the survey rule still fires on faint residual excess. Off-epoch shelf floor -32.3 dB (p90); fine calibration pending.,False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command.
27,ch27_on_through_2020_11,0,station era,1.0,,,,failure,measured,Strong through November 2020; the transition is bounded inside the 2021-22 collection gap.,False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command.
27,ch27_off_from_2022_10,1,post-station era,0.974,,,,conditional,measured+v1_health_repaired_chain,"Trace-level from October 2022 onward. The v1 off-epoch chain is evaluated with n_null=21,437, p90 floor -24.44 dB, and correlation quality refused; the classification remains conditional and measurement-bound.",False,provisional_legacy_operating_point,The survey/fine/residual numeric fields are copied from immutable v3 and were not regenerated by the archive-health command. The former 'chain re-evaluation pending' claim is withdrawn.
