channel,status,secondary_status,classification_status,epoch_scope,evidence_state,health_included_frames,health_excluded_frames,policy_action,full_chain_n_null,full_chain_floor_db,full_chain_floor_status,latest_fine_epoch,latest_fine_anchor_status,note
14,measurement_bound,,provisional_not_blinded_verdict,current epoch,v1_health_repaired_inputs+legacy_classification,35023,7,keep and mask (coherence unverified),1151,-48.81,available,2026Q3,measured_narrow_line_anchor,"Band-edge pair completed 2026-08-19: faint episodic carriers at the synthesized pilot (94.8%/99.9% masked at the survey rule, 25%/27% at the working threshold); chain evaluated: verdicts controlled by refused correlation times; channel 14 carries a measured -48.8 dB floor from 1,151 null frames, channel 15's floor is unmeasured; kept-and-masked under the channel-36 inclusive-for-now rule, flagged pending the coherence measurement. Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
15,measurement_bound,,provisional_not_blinded_verdict,current epoch,v1_health_repaired_inputs+legacy_classification,34213,7,keep and mask (coherence unverified),0,,unavailable_no_health_included_stored_mask_kept_frames,2026Q3,measured_narrow_line_anchor,"Band-edge pair completed 2026-08-19: faint episodic carriers at the synthesized pilot (94.8%/99.9% masked at the survey rule, 25%/27% at the working threshold); chain evaluated: verdicts controlled by refused correlation times; channel 14 carries a measured -48.8 dB floor from 1,151 null frames, channel 15's floor is unmeasured; kept-and-masked under the channel-36 inclusive-for-now rule, flagged pending the coherence measurement. Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
16,measurement_bound,,provisional_not_blinded_verdict,current epoch,v1_health_repaired_inputs+legacy_classification,36367,18,clean,0,,unavailable_no_health_included_stored_mask_kept_frames,2026Q3,measured_narrow_line_anchor,"Trace-level occupancy with warm-season propagation; chain evaluated: kept-frame floor and correlation time both pending measurement. Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
17,excision_candidate,,provisional_not_blinded_verdict,current measured epoch,v1_health_repaired_inputs+legacy_classification,33190,9,excise,20,-50.12,available,2026Q3,fallback_predicted_acquisition,"Near-continuous occupancy at the survey rule; chain confirms occupancy-pinned excision. Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
18,measurement_bound,,provisional_not_blinded_verdict,current epoch,v1_health_repaired_inputs+legacy_classification,38067,6,clean,2789,-41.3,available,2026Q3,measured_narrow_line_anchor,"Trace-occupancy classification remains provisional. The v1 chain has full-archive kept/null floors for channels 18 and 21, but not for 23 or 25; correlation/floor limitations remain explicit. Channel 21 has the largest health-filtered full-archive null population (14,647 frames). Channel 20 off-epoch is the largest epoch-specific null population (23,666 frames), so the old unqualified 'channel 21 is largest' wording is withdrawn."
19,measurement_bound,excision_candidate,provisional_not_blinded_verdict,off-epoch|on-epoch,v1_health_repaired_inputs+legacy_classification,21362,10,clean,1649,-43.69,available,2026Q2,measured_narrow_line_anchor,"Transmitter sign-off measured to the month; off-epoch chain rows evaluated at conservative era floors; verdicts controlled by off-epoch coherence (19, 26) or the kept-frame floor basis (20). Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
20,measurement_bound,excision_candidate,provisional_not_blinded_verdict,off-epoch|on-epoch,v1_health_repaired_inputs+legacy_classification,36727,9,clean,0,,unavailable_no_health_included_stored_mask_kept_frames,2026Q2,measured_narrow_line_anchor,"Transmitter sign-off measured to the month; off-epoch chain rows evaluated at conservative era floors; verdicts controlled by off-epoch coherence (19, 26) or the kept-frame floor basis (20). Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
21,measurement_bound,,provisional_not_blinded_verdict,current epoch,v1_health_repaired_inputs+legacy_classification,38614,8,clean,14647,-43.18,available,2026Q3,measured_narrow_line_anchor,"Trace-occupancy classification remains provisional. The v1 chain has full-archive kept/null floors for channels 18 and 21, but not for 23 or 25; correlation/floor limitations remain explicit. Channel 21 has the largest health-filtered full-archive null population (14,647 frames). Channel 20 off-epoch is the largest epoch-specific null population (23,666 frames), so the old unqualified 'channel 21 is largest' wording is withdrawn."
22,excision_candidate,,provisional_not_blinded_verdict,current measured epoch,v1_health_repaired_inputs+legacy_classification,37959,7,excise,0,,unavailable_no_health_included_stored_mask_kept_frames,2026Q3,fallback_predicted_acquisition,"Under the v1 gate, no health-included frame survives the stored mask as a kept/null calibration row. The conservative policy is excision pending new clean/off data or an independently justified synthetic floor; old language implying an empirical chain floor is withdrawn."
23,measurement_bound,,provisional_not_blinded_verdict,current epoch,v1_health_repaired_inputs+legacy_classification,37675,7,clean,0,,unavailable_no_health_included_stored_mask_kept_frames,2026Q3,fallback_predicted_acquisition,"Trace-occupancy classification remains provisional. The v1 chain has full-archive kept/null floors for channels 18 and 21, but not for 23 or 25; correlation/floor limitations remain explicit. Channel 21 has the largest health-filtered full-archive null population (14,647 frames). Channel 20 off-epoch is the largest epoch-specific null population (23,666 frames), so the old unqualified 'channel 21 is largest' wording is withdrawn."
24,excision_candidate,,provisional_not_blinded_verdict,current measured epoch,v1_health_repaired_inputs+legacy_classification,10152,2,excise,0,,unavailable_no_health_included_stored_mask_kept_frames,2026Q2,fallback_predicted_acquisition,"Under the v1 gate, no health-included frame survives the stored mask as a kept/null calibration row. The conservative policy is excision pending new clean/off data or an independently justified synthetic floor; old language implying an empirical chain floor is withdrawn."
25,measurement_bound,,provisional_not_blinded_verdict,current epoch,v1_health_repaired_inputs+legacy_classification,38257,24,clean,0,,unavailable_no_health_included_stored_mask_kept_frames,2026Q3,measured_narrow_line_anchor,"Trace-occupancy classification remains provisional. The v1 chain has full-archive kept/null floors for channels 18 and 21, but not for 23 or 25; correlation/floor limitations remain explicit. Channel 21 has the largest health-filtered full-archive null population (14,647 frames). Channel 20 off-epoch is the largest epoch-specific null population (23,666 frames), so the old unqualified 'channel 21 is largest' wording is withdrawn."
26,measurement_bound,excision_candidate,provisional_not_blinded_verdict,off-epoch|on-epoch,v1_health_repaired_inputs+legacy_classification,26348,4,clean,1046,-42.43,available,2026Q3,measured_narrow_line_anchor,"Transmitter sign-off measured to the month; off-epoch chain rows evaluated at conservative era floors; verdicts controlled by off-epoch coherence (19, 26) or the kept-frame floor basis (20). Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
27,measurement_bound,excision_candidate,provisional_not_blinded_verdict,post-2022|station era,v1_health_repaired_inputs+legacy_classification,34542,7,clean,0,,unavailable_no_health_included_stored_mask_kept_frames,2026Q3,measured_narrow_line_anchor,"Sign-off remains bounded inside the 2021-22 collection gap. The v1 health-filtered off-epoch chain is now evaluated: n_null=21,437, p90 floor -24.44 dB, and correlation quality refused; the former 'chain pending' wording is withdrawn. The full-era kept/null floor remains unavailable and the verdict remains measurement-bound."
28,excision_candidate,,provisional_not_blinded_verdict,current measured epoch,v1_health_repaired_inputs+legacy_classification,32816,13,clean,6,-47.09,available,2026Q3,measured_narrow_line_anchor,"Always-on or occupancy-pinned in the current screening result. Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
29,measurement_bound,,provisional_not_blinded_verdict,current measured epoch,v1_health_repaired_inputs+legacy_classification,39350,7,clean,8119,-48.19,available,2026Q3,fallback_predicted_acquisition,"Verdict is limited by the currently available floor or coherence measurement. Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
30,excision_candidate,,provisional_not_blinded_verdict,through September 2023,v1_health_repaired_inputs+legacy_classification,9289,0,excise,0,,unavailable_no_health_included_stored_mask_kept_frames,2023Q3,fallback_predicted_acquisition,"Shelf at system noise in the screening result; baseband collection ceased September 2023, so the later state is unmonitored. Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
31,excision_candidate,,provisional_not_blinded_verdict,current measured epoch,v1_health_repaired_inputs+legacy_classification,30985,7,excise,2,-54.78,available,2026Q2,measured_narrow_line_anchor,"Always-on or occupancy-pinned in the current screening result. Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
32,conditional_recovery,,provisional_not_blinded_verdict,current measured epoch,v1_health_repaired_inputs+legacy_classification,28209,6,clean,2818,-48.54,available,2026Q3,measured_narrow_line_anchor,"Conditionally recoverable under the current residual model. Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
33,conditional_recovery,,provisional_not_blinded_verdict,current measured epoch,v1_health_repaired_inputs+legacy_classification,34200,6,clean,1388,-44.95,available,2026Q3,measured_narrow_line_anchor,"Conditionally recoverable under the current residual model. Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
34,measurement_bound,,provisional_not_blinded_verdict,current measured epoch,v1_health_repaired_inputs+legacy_classification,39012,5,clean,168,-45.59,available,2026Q3,measured_narrow_line_anchor,"Verdict is limited by the currently available floor or coherence measurement. Legacy classification retained provisionally; v4 attaches health-filtered counts, policy action, chain status, and fine-anchor evidence without claiming a new blinded science verdict."
