artifact,kind,active,chapter,editable_source,data_dependencies,provenance,notes,font,conventions
figs/fig_claim_chain.pdf,pdf,yes,1,figure_src/intro_figures.py::fig_claim_chain,none,analytic schematic,evidence chain; status palette,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_intro_soundwave.pdf,pdf,yes,1,figure_src/intro_figures.py::fig_intro_soundwave,none,analytic schematic,pedagogical geometry,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_intro_wiggle.pdf,pdf,yes,1,figure_src/intro_figures.py::fig_intro_wiggle,figure_src/data/frozen_export/v1/intro_wiggle_correlation.csv;figure_src/data/frozen_export/v1/intro_wiggle_power.csv,frozen external-model bridge,replace recovered tables with authoritative analysis exports when archived,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_intro_dilation.pdf,pdf,yes,1,figure_src/intro_figures.py::fig_intro_dilation,figure_src/data/frozen_export/v1/intro_wiggle_correlation.csv,frozen external-model bridge,derived from the recovered correlation curve,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_intro_band.pdf,pdf,yes,1,figure_src/intro_figures.py::fig_intro_band,none,analytic schematic,frequency/redshift geometry,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_intro_two_errors.pdf,pdf,yes,1,figure_src/intro_figures.py::fig_intro_two_errors,none,analytic schematic,normal-distribution illustration,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_intro_averaging.pdf,pdf,yes,1,figure_src/intro_figures.py::fig_intro_averaging,none,deterministic synthetic illustration,fixed RNG seed in source,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_intro_atsc.pdf,pdf,yes,1,figure_src/intro_figures.py::fig_intro_atsc,none,analytic schematic,ATSC allocation illustration,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_vsb_standard_model.pdf,pdf,yes,3,figure_src/broadcast_figures.py::fig_vsb_standard_model,none,analytic schematic,normative-versus-model geometry,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_vsb_layout.pdf,pdf,no,unused alternative,figure_src/broadcast_figures.py::fig_vsb_layout,none,analytic schematic,retained as an editable alternative; not included by dissertation.tex,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_census_map.pdf,pdf,yes,3,figure_src/broadcast_figures.py::fig_census_map,figure_src/data/frozen_export/v1/census_full_500mi.csv;figure_src/data/frozen_export/v1/census_inner_120mi.csv,PilotProxy inclusive census-envelope export and inner-radius subset,499 emitter-channel rows aggregated at 162 source range-bearing sites; source schema and per-row evidence status preserved (421 reported-on-air/unverified; 67 reported-on-air/licence-matched; 11 licence-only candidates); 120-mile individual-record inset; vector geographic context from Basemap; Latin Modern rendered through LaTeX; shared semantic palette; 6.35-in canvas,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_census_psd.pdf,pdf,yes,3,WVURAIL/pilot-proxy:analysis/dissertation/figures.py::fig_census_psd,evidence/canfar_archive_health_v1/dissertation_exports/census_psd.csv,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,health-v1 census export corrects the exactly reconstructible aggregate contribution of excluded constant-ceiling frames; byte-reproducible under SOURCE_DATE_EPOCH,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
